DOY,TS Days,Cumulative,
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,1,0.000273748
11,0,1,0.000273748
12,0,1,0.000273748
13,0,1,0.000273748
14,0,1,0.000273748
15,0,1,0.000273748
16,1,2,0.000547495
17,0,2,0.000547495
18,0,2,0.000547495
19,0,2,0.000547495
20,0,2,0.000547495
21,0,2,0.000547495
22,0,2,0.000547495
23,0,2,0.000547495
24,0,2,0.000547495
25,0,2,0.000547495
26,0,2,0.000547495
27,0,2,0.000547495
28,0,2,0.000547495
29,0,2,0.000547495
30,0,2,0.000547495
31,0,2,0.000547495
32,0,2,0.000547495
33,0,2,0.000547495
34,0,2,0.000547495
35,0,2,0.000547495
36,0,2,0.000547495
37,0,2,0.000547495
38,0,2,0.000547495
39,0,2,0.000547495
40,0,2,0.000547495
41,0,2,0.000547495
42,0,2,0.000547495
43,0,2,0.000547495
44,0,2,0.000547495
45,0,2,0.000547495
46,0,2,0.000547495
47,0,2,0.000547495
48,0,2,0.000547495
49,0,2,0.000547495
50,0,2,0.000547495
51,0,2,0.000547495
52,0,2,0.000547495
53,0,2,0.000547495
54,0,2,0.000547495
55,0,2,0.000547495
56,0,2,0.000547495
57,0,2,0.000547495
58,0,2,0.000547495
59,1,3,0.000821243
60,0,3,0.000821243
61,0,3,0.000821243
62,0,3,0.000821243
63,0,3,0.000821243
64,0,3,0.000821243
65,0,3,0.000821243
66,0,3,0.000821243
67,0,3,0.000821243
68,0,3,0.000821243
69,0,3,0.000821243
70,0,3,0.000821243
71,0,3,0.000821243
72,0,3,0.000821243
73,1,4,0.00109499
74,0,4,0.00109499
75,0,4,0.00109499
76,0,4,0.00109499
77,0,4,0.00109499
78,1,5,0.001368738
79,0,5,0.001368738
80,1,6,0.001642486
81,0,6,0.001642486
82,0,6,0.001642486
83,1,7,0.001916233
84,0,7,0.001916233
85,0,7,0.001916233
86,2,9,0.002463728
87,1,10,0.002737476
88,2,12,0.003284971
89,0,12,0.003284971
90,1,13,0.003558719
91,1,14,0.003832466
